Country,Year_Cohort,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,Hepatitis_B,Measles,BMI,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Schooling,region,sub_region
Afghanistan,2000-2003,56.06666666666666,204.66666666666666,87.66666666666667,0.01,64.0,4015.3333333333335,13.0,37.333333333333336,8.126666666666667,36.666666666666664,0.10000000000000002,168.02382453333334,9103745.666666666,6.2,Asia,Southern Asia
Afghanistan,2004-2007,57.275,293.5,84.5,0.0225,65.0,1223.25,14.475,46.0,7.9125,46.0,0.1,221.708762175,13395728.5,7.8,Asia,Southern Asia
Afghanistan,2008-2011,58.675,280.5,75.5,0.015,65.25,2365.5,16.45,65.25,8.705,65.25,0.1,359.0301463,2218882.0,9.075,Asia,Southern Asia
Afghanistan,2012-2015,61.075,268.5,65.25,0.01,64.5,1215.75,18.35,48.25,8.2475,64.5,0.1,624.664925,17373180.5,9.95,Asia,Southern Asia
Albania,2000-2003,73.23333333333333,15.666666666666666,1.0,4.09,96.33333333333333,14.0,46.93333333333334,97.33333333333333,6.19,97.33333333333333,0.10000000000000002,990.0992413333333,126433.33333333333,10.666666666666666,Europe,Southern Europe
Albania,2004-2007,74.15,35.0,1.0,5.1475,98.25,25.75,39.075,97.75,6.115,97.5,0.1,773.499329,915172.5,11.175,Europe,Southern Europe
Albania,2008-2011,76.05,67.75,0.75,5.5125,98.75,9.5,53.875,98.75,5.6775,98.75,0.1,2370.803426,1615337.25,12.5,Europe,Southern Europe
Albania,2012-2015,77.35,63.0,0.0,4.7524999999999995,98.75,2.25,56.875,98.75,5.7825,98.75,0.1,4298.08228425,152580.0,14.2,Europe,Southern Europe
Algeria,2000-2003,71.56666666666666,145.33333333333334,20.0,0.31,88.84469696969697,7974.0,46.13333333333333,87.33333333333333,3.723333333333333,87.33333333333333,0.10000000000000002,1267.1767563333333,12678404.333333334,11.166666666666666,Africa,Northern Africa
Algeria,2004-2007,73.1,102.75,19.5,0.4375,45.25,1633.75,38.099999999999994,91.0,3.49,91.0,0.1,2507.4764802500003,17595981.0,12.075,Africa,Northern Africa
Algeria,2008-2011,74.525,121.0,20.5,0.4925,93.75,134.75,53.375,94.0,4.9925,94.5,0.1,3564.9332677499997,19992621.5,13.325,Africa,Northern Africa
